Date,Open,High,Low,Close
12/26/2013,910.28003,910.83002,886.21997,891.45001
12/27/2013,888.90997,889.60999,875.16998,883.40002
1/2/2014,878.09003,878.79999,833.28998,833.28998
1/3/2014,822.27002,837.38,816.5,829.89001
1/6/2014,829.46002,838.87,815.56,837.67999
1/7/2014,842.15002,861.71002,840.12,861.63
1/8/2014,861.40002,871.46997,854.5,859.34998
1/9/2014,864.58002,875.56,856.62,860
1/10/2014,850.59003,861.78998,845.17999,858.25
1/13/2014,849.35999,880.70001,849.21002,880.70001
1/14/2014,874.53998,892.46002,872.67999,887.92999
1/15/2014,885.12,889.09003,870,871.02002
1/16/2014,874.17999,891.94,873.15997,888.02002
1/17/2014,890.85999,891.70001,876.5,883.94
1/20/2014,879.65997,885.32001,877.28003,879.04999
1/21/2014,883.37,890.70001,874.45001,880.84003
1/22/2014,872.89001,884.15997,871.10999,879.59003
1/23/2014,881.04999,897.29999,877.37,894.10999
1/24/2014,898.90997,903.85999,892.58002,898.88
1/27/2014,884.28998,885.92999,877.5,878.54999
1/28/2014,877.10999,878,861.98999,865.17999
1/29/2014,867.26001,870.85999,861.04999,863.60999
1/30/2014,857.09003,860.66998,852.59003,857.5
1/31/2014,860.78998,866.56,860.10999,866.34003
2/3/2014,872.84003,881.91998,871.59998,879.71997
2/4/2014,869.96997,871.46002,863.07001,865.22998
2/5/2014,869.98999,873.17999,860.83002,867.10999
2/6/2014,874.33002,878.54999,870.71997,878.27002
2/7/2014,884.09003,886.82001,878.81,879.69
2/10/2014,882.97998,884.75,872.84998,874.88
2/11/2014,876.78003,881.78003,872.38,879.09003
2/12/2014,881.34003,892.84998,880.19,892.57001
2/13/2014,892.35999,894.52002,887.44,890.01001
2/17/2014,895.40997,906.82001,893.09998,906.23999
2/18/2014,902.20001,904.07001,893.04999,901.09003
2/19/2014,905.33002,906.32001,894.72998,896.84998
2/20/2014,890.78003,893.31,880.71997,883.29999
2/21/2014,883.32001,887.34998,876.06,883.06
2/24/2014,878.83002,884.10999,875.33002,881.56
2/25/2014,884.89001,890.31,879.63,883.15997
2/26/2014,883.58002,887.64001,881.67999,883.56
2/27/2014,884.78998,896.73999,884,894.15997
2/28/2014,893.97998,900.77002,890.37,899.51001
3/3/2014,903.53003,915.81,903.32001,909.96002
3/4/2014,913.66998,918.15002,912.63,913.94
3/5/2014,920.53003,922.53998,911.42999,917.59003
3/6/2014,917.84998,918.28003,912.71002,916.03998
3/7/2014,917.97998,920.28003,914.15002,916.96997
3/10/2014,915.90997,917.59003,904.54999,912.28003
3/11/2014,915.62,925.46997,914.71002,923.94
3/12/2014,920.08002,924.47998,917.53998,917.67999
3/13/2014,921.77002,928.85999,921.35999,928.85999
3/14/2014,923.27002,928.21002,920.22998,928.09998
3/17/2014,929.15997,931.77002,923.51001,931.77002
3/18/2014,933.46997,934.71002,928.12,928.79999
3/19/2014,930.97998,935.29999,919.88,922.81
3/20/2014,917.34998,920.21997,912.26001,920.21997
3/21/2014,920.79999,921.76001,913.29999,919.32001
3/24/2014,918.70001,919.06,910.51001,912.34998
3/25/2014,913.67999,917.37,906.28003,917.34003
3/26/2014,920.34003,923.76001,918.45001,921.48999
3/27/2014,922.48999,925.84003,917.51001,919.06
3/28/2014,919.47998,937.38,918.70001,929.84003
3/31/2014,933.64001,937,931.21997,935.76001
4/1/2014,936.78003,943.92999,933.96002,943.92999
4/2/2014,945.71997,951.41998,941.25,950.65997
4/3/2014,949.39001,951.58002,943.37,946.17999
4/4/2014,946.84003,951.16998,943.47998,946.53003
4/8/2014,947.20001,952.75,936.64001,936.94
4/9/2014,940.45001,944.65002,936.59003,938.34998
4/10/2014,940.25,944.26001,936.03998,944.06
4/11/2014,939.39001,943.69,937.28003,943.45001
4/16/2014,944.14001,953.46997,943.53998,952.63
4/17/2014,952.10999,959.98999,951.45001,957.22998
4/18/2014,958.81,961.79999,956.19,957.16998
4/21/2014,957.65997,963.23999,954.71002,960.25
4/22/2014,963.41998,964.82001,956.14001,961.20001
4/23/2014,963.94,968.42999,963.15002,966.5
4/24/2014,967.25,968.29999,962.65997,964.83002
4/25/2014,961.65002,964.63,953.35999,953.35999
4/28/2014,954.60999,960.96002,954.31,956.25
4/29/2014,954.06,958.53998,950.90997,956.51001
4/30/2014,958.06,962.75,956.92999,959.51001
5/2/2014,960.72998,964.71002,959.89001,964.35999
5/6/2014,966.21002,968.39001,952.66998,952.72998
5/7/2014,943.08002,952.40002,940.57001,951.52002
5/8/2014,948.92999,950.42999,934.56,935.40997
5/9/2014,933.75,940.29999,930.44,935.40997
5/12/2014,934.85999,936.89001,930,932.70001
5/14/2014,936.95001,946.90002,936.89001,946.78003
5/15/2014,945.45001,948.08002,940.88,946.88
5/16/2014,943.03998,957.89001,941.84998,955.52002
5/19/2014,955.03003,959.34003,953.71002,959.26001
5/20/2014,947.48999,951.48999,942.28998,946.5
5/21/2014,945.65002,953.59998,944.58002,950.46002
5/22/2014,955.46997,959.46997,948.62,950.59003
5/23/2014,931.98999,944.66998,930.44,944.13
5/26/2014,944.17999,944.40997,931.42999,937.07001
5/27/2014,939.21002,941.94,933.77002,938.09003
5/28/2014,943.07001,950.01001,942.01001,945.08002
5/29/2014,946.15997,952.53998,945.51001,948.65997
