Date,Open,High,Low,Close,Volume
2012-02-28,801.04,807.69,798.49,807.69,612980000
2012-02-29,810.78,818.78,810.29,818.78,1090000000
2012-03-01,817.39,823.2,815.57,821.96,1400000000
2012-03-02,825.27,827.85,820.56,821.18,1140000000
2012-03-05,818.9,819.58,813.77,814.68,753750000
2012-03-06,812.25,816.16,808.54,810.79,771010000
2012-03-08,813.49,823.07,813.21,823.07,1510000000
2012-03-09,824.41,824.94,814.89,814.89,1910000000
2012-03-12,817.53,820.02,804.49,807.65,1180000000
2012-03-13,812.13,813.09,802.71,809.97,1370000000
2012-03-14,817.35,820.98,813.18,818.14,1020000000
2012-03-15,819.82,826.05,819.41,823.39,1340000000
2012-03-16,827.74,838.44,824.71,838.44,1920000000
2012-03-19,843.59,847.87,837.93,837.93,1730000000
2012-03-20,838.32,846.73,837.67,843.65,1030000000
2012-03-21,843.18,852.14,840.23,852.14,1720000000
2012-03-22,851.41,857,839.22,839.22,2570000000
2012-03-23,840.48,844.12,830.1,841.76,1170000000
2012-03-26,842.99,845.08,835.96,836.77,745170000
2012-03-27,848.14,852.25,844.45,852.25,817760000
2012-03-28,849.47,853.53,845.67,849.51,679890000
2012-03-29,844.82,850.73,841.55,849.34,716130000
2012-03-30,850.32,851.94,840.46,842.91,855680000
2012-04-02,842.04,847.13,841.08,843.87,448470000
2012-04-03,848.26,855.38,848.01,853.51,703850000
2012-04-04,851.28,853.32,843.26,843.26,706340000
2012-04-05,841.62,842.45,827.91,831.74,760320000
2012-04-10,825.28,826.57,813.38,819.57,697780000
2012-04-11,812.25,816.09,808.06,810.76,834390000
2012-04-12,813.41,821.45,813.41,821.45,469120000
2012-04-17,829.87,829.87,809.76,813,640060000
2012-04-18,820.89,823.27,815.6,818.87,632290000
2012-04-19,820.58,832.82,819.07,832.66,652360000
2012-04-20,832.12,840.17,830.04,839.45,974840000
2012-04-23,842.38,844.61,832.56,834.68,1470000000
2012-04-24,838.06,842.26,834.69,842.26,885590000
2012-04-25,843.33,845.64,838.72,842.33,854770000
2012-04-26,843.86,851.26,843.86,848.32,799370000
2012-04-27,850.31,852.48,844.54,850.11,531960000
2012-04-30,855.09,863.82,854.89,863.82,852670000
2012-05-02,869.58,873.64,867.86,871.94,811380000
2012-05-03,872.92,879.5,869.33,872.75,1080000000
2012-05-04,872.66,872.66,861.01,861.93,1150000000
2012-05-08,856.98,865.44,854.85,864.17,1160000000
2012-05-09,858.92,860.91,845.27,845.27,1620000000
2012-05-10,840.01,840.65,828.49,832.43,1770000000
2012-05-11,830,836.72,823.56,833.65,1880000000
2012-05-14,833.13,840.65,810.36,815.21,1180000000
2012-05-15,814.32,830.41,810.58,830.41,733550000
2012-05-16,815.94,820.4,805.66,820.4,1100000000
2012-05-17,821.96,826.24,815.84,821.87,967990000
2012-05-18,809.48,811.97,802.61,806.71,853760000
2012-05-21,805.2,806.19,790.73,790.73,684290000
2012-05-22,799.42,801.47,786.06,786.06,633520000
2012-05-23,781.38,783.73,768.13,770.17,725480000
2012-05-24,770.89,783.86,764.09,783.86,1180000000
2012-05-25,777.8,788.69,774.76,786.87,534890000
2012-05-28,784.1,791.78,778.9,791.76,444420000
2012-05-29,792.07,804.46,791.87,802.16,846980000
2012-05-30,795.05,797.18,788.76,789.62,534020000
2012-05-31,781.04,794.48,777.33,791.54,780570000
2012-06-01,787.71,789.73,772.39,772.39,604790000
2012-06-05,776.13,778.32,761.66,761.66,610650000
2012-06-06,770.26,780.37,769.41,775.6,462020000
2012-06-07,785.73,789.06,773.83,777.14,647800000
2012-06-08,774.9,783.68,771.36,783.68,415090000
2012-06-11,796.74,807.94,796.74,807.94,731090000
2012-06-12,799.98,810.66,797.65,810.66,614080000
2012-06-13,811.33,813.62,801.63,806.51,551380000
2012-06-14,802.48,810.85,801.37,801.72,1150000000
2012-06-15,808.25,816.37,807.13,812.56,1530000000
2012-06-18,822.5,824.79,807.17,809.88,952500000
2012-06-19,812.14,816.9,808.36,816.9,890240000
2012-06-20,814.8,818.61,812.4,816.68,457660000
2012-06-21,809.94,811.07,802.9,804.89,495010000
2012-06-22,797.53,800.07,793.75,800.07,786740000
2012-06-25,798.85,803.97,795.68,795.68,693870000
2012-06-26,795.05,801.32,794.04,798.51,429000000
2012-06-27,802.93,810.75,802.23,809.75,572350000
2012-06-28,813.42,819.99,805.27,814.02,604240000
2012-06-29,817.78,826.08,814.38,814.38,784500000
2012-07-02,824.57,828.45,821.44,827.4,571400000
2012-07-03,831.33,835.09,829.15,834.48,645070000
2012-07-04,837.86,838.44,827.47,830.48,860240000
2012-07-05,829.59,836.15,826.64,836.15,676010000
2012-07-06,835.87,838.23,827.32,833.94,565290000
2012-07-09,826.92,827.88,822.77,823.21,425890000
2012-07-10,824.61,837.67,823.34,837.67,496400000
2012-07-11,834.49,842.1,833.29,840.61,574220000
2012-07-12,836.13,838.29,828.6,828.66,466410000
2012-07-13,829.53,843.68,829.53,841.59,449090000
2012-07-16,843.33,848.33,840.48,843.8,552350000
